18 recordings, train split, ASR = large-v3-turbo, update every 1 s

{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.741  ±1 0.927  dua 0.973  wrong 0.003  lag 1.2
{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.743  ±1 0.929  dua 0.974  wrong 0.002  lag 1.2
{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.744  ±1 0.930  dua 0.974  wrong 0.002  lag 1.2
{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.740  ±1 0.926  dua 0.973  wrong 0.003  lag 1.3
{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.741  ±1 0.928  dua 0.974  wrong 0.002  lag 1.3
{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.743  ±1 0.930  dua 0.974  wrong 0.001  lag 1.3
{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.737  ±1 0.925  dua 0.973  wrong 0.002  lag 1.3
{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.738  ±1 0.928  dua 0.974  wrong 0.001  lag 1.3
{'kappa': 0.15, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.740  ±1 0.929  dua 0.974  wrong 0.001  lag 1.3
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.765  ±1 0.936  dua 0.973  wrong 0.004  lag 0.8
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.765  ±1 0.937  dua 0.974  wrong 0.003  lag 0.8
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.766  ±1 0.938  dua 0.974  wrong 0.002  lag 0.8
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.771  ±1 0.940  dua 0.973  wrong 0.003  lag 0.8
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.772  ±1 0.941  dua 0.974  wrong 0.003  lag 0.8
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.772  ±1 0.941  dua 0.974  wrong 0.002  lag 0.8
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.777  ±1 0.943  dua 0.973  wrong 0.003  lag 0.8
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.777  ±1 0.943  dua 0.974  wrong 0.002  lag 0.8
{'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.778  ±1 0.944  dua 0.974  wrong 0.002  lag 0.8
{'kappa': 0.15, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.728  ±1 0.913  dua 0.973  wrong 0.004  lag 0.7
{'kappa': 0.15, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.729  ±1 0.914  dua 0.973  wrong 0.003  lag 0.7
{'kappa': 0.15, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.729  ±1 0.914  dua 0.974  wrong 0.003  lag 0.7
